,player_id,playing_season,playing_position,playing_age,team_name,no_of_games_played,no_minutes_played,field_goals_made,field_goals_pctg,three_pointers_made,three_point_pctg,effective_field_goal_pctg,free_thows_made,free_throws_pctg,total_rebounds,no_of_assists,no_of_steals,no_of_blocks,no_of_turnovers,points
31,barneha02,2016,PF,24,DAL,79,35.5,7.6,0.468,1.0,0.351,0.498,3.1,0.861,5.0,1.5,0.8,0.2,1.3,19.2
32,barnema02,2016,SF,36,TOT,74,24.0,2.5,0.391,1.2,0.331,0.483,0.9,0.787,5.2,2.6,0.6,0.4,1.4,7.1
35,bartowi01,2016,SG,26,DEN,60,28.4,4.9,0.443,1.5,0.37,0.508,2.4,0.753,4.3,3.4,0.8,0.5,1.6,13.7
36,bassbr01,2016,PF,31,LAC,52,11.1,2.1,0.575,0.0,0.333,0.578,1.5,0.875,2.5,0.4,0.3,0.2,0.6,5.6
37,batumni01,2016,SG,28,CHO,77,34.0,5.1,0.403,1.8,0.333,0.472,3.2,0.856,6.2,5.9,1.1,0.4,2.5,15.1
38,bayleje01,2016,PG,28,PHI,3,23.7,3.7,0.344,0.7,0.4,0.375,3.0,0.9,4.0,4.3,0.0,0.0,3.0,11.0
39,baynear01,2016,C,30,DET,75,15.5,1.9,0.513,0.0,0.0,0.513,1.1,0.84,4.4,0.4,0.2,0.5,0.7,4.9
40,bazemke01,2016,SF,27,ATL,73,26.9,4.0,0.409,1.3,0.346,0.473,1.6,0.708,3.2,2.4,1.2,0.7,1.7,11.0
41,bealbr01,2016,SG,23,WAS,77,34.9,8.3,0.482,2.9,0.404,0.566,3.7,0.825,3.1,3.5,1.1,0.3,2.0,23.1
42,beaslma01,2016,SG,20,DEN,22,7.5,1.5,0.452,0.4,0.321,0.514,0.4,0.8,0.8,0.5,0.3,0.0,0.4,3.8
43,beaslmi01,2016,PF,28,MIL,56,16.7,3.9,0.532,0.3,0.419,0.554,1.4,0.743,3.4,0.9,0.5,0.5,1.2,9.4
44,belinma01,2016,SG,30,CHO,74,24.0,3.6,0.429,1.4,0.36,0.512,2.0,0.893,2.4,2.0,0.6,0.1,0.9,10.5
45,bembrde01,2016,SF,22,ATL,38,9.8,1.2,0.48,0.0,0.056,0.485,0.2,0.375,1.6,0.7,0.2,0.1,0.4,2.7
46,bendedr01,2016,PF,19,PHO,43,13.3,1.3,0.354,0.7,0.277,0.441,0.1,0.364,2.4,0.5,0.2,0.5,0.7,3.4
47,bennean01,2016,PF,23,BRK,23,11.5,1.7,0.413,0.6,0.271,0.484,1.1,0.722,3.4,0.5,0.2,0.1,0.5,5.0
48,bentibe01,2016,PF,21,DAL,3,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.3,0.0
49,bertada01,2016,PF,24,SAS,67,12.1,1.5,0.44,1.0,0.399,0.588,0.4,0.824,1.5,0.7,0.3,0.4,0.5,4.5
50,beverpa01,2016,SG,28,HOU,67,30.7,3.4,0.42,1.6,0.382,0.521,1.1,0.768,5.9,4.2,1.5,0.4,1.5,9.5
51,biyombi01,2016,C,24,ORL,81,22.1,2.2,0.528,0.0,0.0,0.528,1.5,0.534,7.0,0.9,0.3,1.1,1.2,6.0
52,bjeline01,2016,PF,28,MIN,65,18.3,2.3,0.424,0.9,0.316,0.503,0.7,0.738,3.8,1.2,0.6,0.3,0.9,6.2
53,blackta01,2016,C,25,LAL,67,16.3,2.2,0.51,0.0,0.5,0.512,1.2,0.752,5.1,0.6,0.4,0.7,0.9,5.7
54,bledser01,2016,PG,27,PHO,66,33.0,6.8,0.434,1.6,0.335,0.485,5.9,0.847,4.8,6.3,1.4,0.5,3.4,21.1
55,bogdabo02,2016,SF,27,TOT,81,25.7,4.6,0.445,1.8,0.367,0.53,2.7,0.893,3.4,1.4,0.4,0.1,1.6,13.7
58,bogutan01,2016,C,32,TOT,27,21.6,1.4,0.469,0.0,0.0,0.469,0.1,0.273,8.1,1.8,0.5,0.9,1.6,2.9
61,bolomjo01,2016,PF,23,UTA,12,4.4,0.8,0.563,0.1,0.25,0.594,0.3,0.5,1.4,0.2,0.1,0.2,0.2,1.8
62,bookede01,2016,SG,20,PHO,78,35.0,7.8,0.423,1.9,0.363,0.475,4.7,0.832,3.2,3.4,0.9,0.3,3.1,22.1
63,booketr01,2016,PF,29,BRK,71,24.7,4.3,0.516,0.4,0.321,0.537,1.0,0.673,8.0,1.9,1.1,0.4,1.8,10.0
64,bradlav01,2016,SG,26,BOS,55,33.4,6.5,0.463,2.0,0.39,0.533,1.2,0.731,6.1,2.2,1.2,0.2,1.6,16.3
65,breweco01,2016,SF,30,TOT,82,15.6,1.8,0.422,0.3,0.229,0.461,0.6,0.735,2.0,1.2,0.7,0.2,0.7,4.5
68,brogdma01,2016,SG,24,MIL,75,26.4,3.9,0.457,1.0,0.404,0.518,1.5,0.865,2.8,4.2,1.1,0.2,1.5,10.2
69,brookaa01,2016,PG,32,IND,65,13.8,1.9,0.403,0.7,0.375,0.483,0.5,0.8,1.1,1.9,0.4,0.1,1.0,5.0
70,brownan02,2016,SF,24,TOT,11,14.5,1.6,0.36,0.6,0.259,0.43,0.0,0.0,3.0,0.7,0.5,0.1,0.5,3.9
73,brownbo02,2016,PG,32,HOU,25,4.9,0.9,0.383,0.6,0.4,0.5,0.1,1.0,0.2,0.6,0.0,0.0,0.2,2.5
74,brownja02,2016,SF,20,BOS,78,17.2,2.5,0.454,0.6,0.341,0.508,1.1,0.685,2.8,0.8,0.4,0.2,0.9,6.6
75,brussni01,2016,SG,23,DAL,54,9.6,1.0,0.369,0.5,0.305,0.472,0.3,0.773,1.8,0.9,0.3,0.1,0.5,2.8
76,bullore01,2016,SF,25,DET,31,15.1,1.7,0.422,0.9,0.384,0.531,0.2,0.714,2.1,0.9,0.6,0.1,0.3,4.5
77,burketr01,2016,PG,24,WAS,57,12.3,2.0,0.455,0.5,0.443,0.516,0.4,0.759,0.8,1.8,0.2,0.1,0.8,5.0
78,burksal01,2016,SG,25,UTA,42,15.5,2.4,0.399,0.6,0.329,0.45,1.4,0.769,2.9,0.7,0.4,0.1,0.8,6.7
79,butleji01,2016,SF,27,CHI,76,37.0,7.5,0.455,1.2,0.367,0.492,7.7,0.865,6.2,5.5,1.9,0.4,2.1,23.9
80,cabocbr01,2016,SF,21,TOR,9,4.4,0.7,0.375,0.2,0.333,0.438,0.0,0.0,1.1,0.4,0.2,0.1,0.2,1.6
81,caldejo01,2016,PG,35,TOT,41,13.1,1.3,0.41,0.5,0.313,0.485,0.3,0.917,1.8,2.1,0.3,0.0,1.0,3.4
84,caldwke01,2016,SG,23,DET,76,33.3,4.9,0.399,2.0,0.35,0.481,2.0,0.832,3.3,2.5,1.2,0.2,1.1,13.8
85,canaais01,2016,SG,25,CHI,39,15.2,1.6,0.364,0.6,0.266,0.436,0.8,0.909,1.3,0.9,0.6,0.0,0.5,4.6
86,capelca01,2016,C,22,HOU,65,23.9,5.6,0.643,0.0,0.0,0.643,1.4,0.531,8.1,1.0,0.5,1.2,1.3,12.6
87,carrode01,2016,SF,30,TOR,72,26.1,3.1,0.4,1.5,0.341,0.499,1.2,0.761,3.8,1.0,1.1,0.4,0.8,8.9
88,cartevi01,2016,SF,40,MEM,73,24.6,2.6,0.394,1.5,0.378,0.508,1.2,0.765,3.1,1.8,0.8,0.5,0.7,8.0
89,cartemi01,2016,PG,25,CHI,45,18.8,2.5,0.366,0.3,0.234,0.391,1.3,0.753,3.4,2.5,0.8,0.5,1.5,6.6
90,casspom01,2016,PF,28,TOT,36,17.9,2.1,0.47,0.4,0.349,0.515,0.5,0.586,3.1,1.0,0.6,0.1,0.8,5.2
94,caulewi01,2016,C,23,SAC,75,18.9,3.4,0.53,0.0,0.0,0.53,1.3,0.669,4.5,1.1,0.7,0.6,0.9,8.1
